"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateprofilejobseeker\updateprofilejobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 0, 15, 97
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateprofilejobseeker\updateprofilejobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateprofilejobseeker\updateprofilejobseeker.component.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 6, 64
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updatequalificationjobseeker\updatequalificationjobseeker.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updatequalificationjobseeker\updatequalificationjobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 49, 0, 0, 14, 63
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updatequalificationjobseeker\updatequalificationjobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updatequalificationjobseeker\updatequalificationjobseeker.component.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 10, 63
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\viewcompanyprofiletojobseeker\viewcompanyprofiletojobseeker.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\viewcompanyprofiletojobseeker\viewcompanyprofiletojobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 2, 5, 43
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\viewcompanyprofiletojobseeker\viewcompanyprofiletojobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\viewcompanyprofiletojobseeker\viewcompanyprofiletojobseeker.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 9, 42
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\addvacancy\addvacancy.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\addvacancy\addvacancy.component.html", "HTML", 0, 0, 0, 0, 0, 93, 0, 1, 13, 107
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\addvacancy\addvacancy.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\addvacancy\addvacancy.component.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 3, 23, 100
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\showvacancy\showvacancy.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\showvacancy\showvacancy.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 3, 3, 48
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\showvacancy\showvacancy.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\showvacancy\showvacancy.component.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 8, 66
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\updatevacancy\updatevacancy.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\updatevacancy\updatevacancy.component.html", "HTML", 0, 0, 0, 0, 0, 84, 0, 0, 14, 98
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\updatevacancy\updatevacancy.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\updatevacancy\updatevacancy.component.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 3, 15, 96
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\vacancysubmitted\vacancysubmitted.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\vacancysubmitted\vacancysubmitted.component.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 3, 3, 46
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\vacancysubmitted\vacancysubmitted.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\vacancy\vacancysubmitted\vacancysubmitted.component.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 14, 68
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\models\employer.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\models\users.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
